Numero,Fecha_Orden,Cliente,Vendedor,Equipo,Moneda,Total,Estado_Factura,Estado_Entrega
026-0012022,04/09/2026 17:40,TP INTERCAMBIADORES S.A.C.,Mario Li,VENTAS-COMERCIALIZACION,USD,11955.67,Facturado,Sin entregar
026-0012149,28/08/2026 15:28,VPTM IQUITOS S.A.C.,Jeancarlos Castillo,VENTAS-MANTENIMIENTO,USD,6683.52,Facturado,Sin entregar
026-0012015,17/08/2026 14:10,INDUSTRIA ESPECIALIZADA Y REPRESENTACIONES SOCIEDAD ANONIMA CERRADA,Jeancarlos Castillo,VENTAS-COMERCIALIZACION,USD,4389.6,Facturado,Sin entregar
026-0011990,08/08/2026 13:25,VPTM IQUITOS S.A.C.,Jeancarlos Castillo,VENTAS-COMERCIALIZACION,USD,401.2,Facturado,Sin entregar
026-0011001,15/01/2026 23:08,SIERRA ANTAPITE S.A.C.,Mercedes Quispe,VENTAS-FABRICACION,USD,1057.28,Facturado,Sin entregar
